"query","dish_name","recipe_id","label","reason","source"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt chiên giòn","4531","1","Có vịt nguyên con nhưng không phải vịt quay, món chiên không đúng yêu cầu.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt ướp tiêu nướng bằng lò vi sóng","429","2","Là món nướng vịt nhưng nguyên liệu là đùi vịt, không dùng vịt nguyên con.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt nướng xá xíu","365","2","Là món nướng vịt nhưng chỉ có má đùi vịt, không số lượng vịt nguyên con.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Ức vịt","725","1","Có vịt nướng nhưng nguyên liệu chỉ ức vịt, không dùng vịt nguyên con.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Trứng vịt lộn hấp bia","4954","0","Là món trứng vịt lộn hấp, không phải món vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Trứng vịt lộn chiên giòn","4478","0","Là món trứng vịt lộn chiên, không phải món vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Cách chiên lạp vịt","3560","0","Là món chiên lạp vịt, không phải vịt quay và không dùng vịt nguyên con.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt nướng Vân Đình","413","4","Vịt nướng nguyên con, đúng loại món vịt quay đang tìm.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt nướng lá sen","511","3","Vịt nướng lá sen nguyên con, gần giống vịt quay nhưng cách làm có khác biệt.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Vịt nướng riềng mẻ","275","4","Vịt nướng riềng mẻ nguyên con, đúng món vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Thịt gà nấu đông với chân giò","6330","0","Là món gà, không phải vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Nấu gà nguyên con bằng nồi nấu chậm","6514","0","Là món gà nấu, không đúng món vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Gà nướng tiêu nguyên con","305","0","Là món gà nướng, không phải vịt quay.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Thịt vịt chay","7085","0","Món chay không dùng vịt, không phù hợp.","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi làm 1 món vịt quay","Thịt vịt chay","6830","0","Món chay, không dùng vịt.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Bao tử cá basa nướng sa tế","676","4","Có nguyên liệu bao tử cá basa, độ khó dễ phù hợp.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá basa hấp xì dầu","5164","4","Nguyên liệu cá basa phi lê, dễ nấu, phù hợp query.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","cá hấp chiên","3398","0","Không có nguyên liệu cá basa, không phù hợp.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cháo cá basa","864","4","Có thịt nạc cá basa, độ khó dễ phù hợp.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Khô cá hồi làm bằng lò nướng","360","0","Nguyên liệu là cá hồi, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá basa nướng muối ớt","490","4","Có cá basa, độ khó dễ phù hợp yêu cầu.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá nướng bơ","263","1","Nguyên liệu cá phi lê không rõ cá basa, không khớp chính xác.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá chét chiên giòn","4437","0","Nguyên liệu cá chét, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá basa chiên xù","4024","4","Có phi lê cá basa, dễ nấu, rất phù hợp.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Khô cá sặc rằn (cá sặc bổi)","10098","0","Nguyên liệu cá sặc, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Khô cá nục","10114","0","Nguyên liệu cá nục, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá  mương chiên giòn","3540","0","Nguyên liệu cá mương, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Cá chỉ vàng nướng","111","0","Nguyên liệu cá chỉ vàng, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Khô cá bò nướng","10025","0","Nguyên liệu khô cá bò, không phải cá basa.","pinecone"
"Cá basa nấu được món gì mà dễ nấu","Phi lê cá basa chiên nước mắm","4107","4","Có phi lê cá basa, dễ nấu, phù hợp.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo tôm khoai lang cà rốt","906","0","Không phải món canh, nguyên liệu chính là khoai lang không phải khoai tây.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo yến mạch khoai tây","1121","0","Món cháo, không phải canh theo yêu cầu.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo đậu xanh khoai tây","1097","0","Món cháo, không phải canh mặc dù có khoai tây.","pinecone"
"Có món canh nào nấu từ khoai tây không","Khoai tây chiên bằng nồi chiên không dầu","4218","0","Món chiên, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Khoai tây chiên giòn không cần bột","3907","0","Món chiên, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Khoai tây chiên bằng nồi chiên không dầu","4249","0","Món chiên, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo dinh dưỡng","777","0","Món cháo, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Khoai tây chiên giòn lâu","3425","0","Món chiên, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Canh chay thập cẩm","6844","4","Là món canh, có nguyên liệu khoai tây và đúng yêu cầu món canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Khoai tây nhồi thịt nướng","240","0","Món nướng, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Sợi bánh canh bằng khoai lang tím","6794","0","Món chay làm từ khoai lang, không phải khoai tây và là món chay, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Bim bim khoai tây bằng nồi chiên không dầu","408","0","Món nướng, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo thịt bằm khoai tây","1099","0","Món cháo, không phải canh.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo khoai lang đậu xanh","918","0","Món cháo khoai lang, không phải canh và không có khoai tây.","pinecone"
"Có món canh nào nấu từ khoai tây không","Cháo khoai lang thịt heo","840","0","Món cháo khoai lang, không phải canh và không có khoai tây.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai deo Quảng Bình","7267","1","Nguyên liệu là khoai lang mật, không phải khoai tây; chỉ làm món ăn vặt nên phù hợp yếu.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Bim bim khoai tây bằng nồi chiên không dầu","408","4","Có khoai tây, là món ăn vặt, thời gian nấu nhanh, độ khó dễ; rất phù hợp yêu cầu.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai xéo Nghệ An","5103","2","Dùng khoai khô, không phải khoai tây tươi; là món ăn vặt nhưng nguyên liệu khoai lạ so với yêu cầu khoai tây.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai lang tím ngào đường","3986","1","Dùng khoai lang tím, không phải khoai tây; thuộc món ăn vặt nhưng không đúng nguyên liệu chính.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Mứt khoai tây miếng (công thức không dùng nước vôi trong)","8107","4","Nguyên liệu chính là khoai tây, là món ăn vặt, độ khó dễ, thời gian vừa phải.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Snack khoai tây bằng lò nướng","401","4","Có khoai tây, món ăn vặt, độ khó trung bình, thời gian phù hợp; rất phù hợp.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Pudding khoai môn từ khoai môn tươi","9459","0","Dùng khoai môn, không phải khoai tây và không phải món ăn vặt.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Cà tím cuộn chay nướng","561","0","Không chứa khoai tây mà là cà tím, không phù hợp.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khai từ luộc","4990","0","Dùng khoai từ, không phải khoai tây; không phù hợp.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai tây chiên bằng nồi chiên không dầu","4218","4","Có khoai tây, món ăn vặt, độ khó dễ, thời gian nhanh; phù hợp cao.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Yến chưng đường phèn","5065","0","Không dùng khoai tây và không phải món ăn vặt.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai lang mật nướng","18","1","Dùng khoai lang mật, không phải khoai tây; món ăn vặt nhưng nguyên liệu không phù hợp.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Trứng cuộn khoai tây","10221","2","Có bánh khoai tây nghiền nhưng món cuốn, không rõ món ăn vặt, khác biệt về thể loại.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Khoai lang nướng","742","1","Dùng khoai lang, không phải khoai tây; món ăn vặt nhưng nguyên liệu không chính xác.","pinecone"
"Gợi ý cho tôi 1 món ăn vặt làm từ khoai tây","Mứt khoai mì vị lá dứa","8319","0","Dùng khoai mì không phải khoai tây; món ngày lễ không rõ là ăn vặt.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò bí xanh","944","1","Thịt bò rất ít (40g), khẩu phần lớn hơn yêu cầu (4-6 người).","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò bí đỏ","982","2","Có thịt bò nhưng chỉ 100g, khẩu phần phù hợp 2-3 người, thiếu lượng thịt cần.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò rau ngót cho bé ăn dặm","1033","1","Thịt bò ít (30g), khẩu phần 2-3 người, không đủ 500g thịt yêu cầu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Sườn bò nướng","519","1","Thịt bò là sườn 300g, ít hơn 500g, khẩu phần lớn hơn yêu cầu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò rau mồng tơi","1035","1","Thịt bò 70g nhỏ hơn 500g, khẩu phần 2-3 người phù hợp nhưng thiếu nguyên liệu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Mì ý sốt bò bằm (sốt mì ý có sẵn)","6688","2","Thịt bò bằm 200g, có liên quan, khẩu phần 4-6 người không phù hợp lắm.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò cà chua","1062","3","Thịt bò 200g, phù hợp khẩu phần 2-3 người, nguyên liệu chính đúng.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Rau muống xào thịt bò","2133","1","Thịt bò 300g, khẩu phần 4-6 người, vượt số người yêu cầu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Súp bí đỏ thịt heo","1068","0","Không chứa thịt bò, nguyên liệu chính không đúng.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Phở bò bằng gói gia vị sẵn","6590","1","Thịt bò 300g, khẩu phần 4-6 người, không phù hợp số người 2 người.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo rau dền thịt bò","1094","2","Thịt bò 100g, khẩu phần 2-3 người, thịt ít hơn yêu cầu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Bông điên điển xào thịt bò","1264","1","Thịt bò 400g gần nhưng khẩu phần 4-6 người, không đáp ứng số người.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò rau dền","1038","1","Thịt bò 70g, khẩu phần 2-3 người, thịt ít hơn yêu cầu.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Bò cuộn hành nướng","460","1","Thịt thăn bò 600g thừa thịt, khẩu phần 4-6 người, không hợp số người.","pinecone"
"Tôi có 500g thịt bò hãy gợi ý cho tôi nấu 1 món cho 2 người ăn","Cháo thịt bò củ dền","924","2","Thịt bò 100g, khẩu phần 2-3 người, thịt ít hơn yêu cầu.","pinecone"
"Gợi ý cho tôi một món bún","Mận ngâm đường phèn","8706","0","Không phải món bún, là thức uống.","pinecone"
"Gợi ý cho tôi một món bún","Chùm ruột ngâm đường","8084","0","Không phải món bún, là thức uống hoặc ăn vặt.","pinecone"
"Gợi ý cho tôi một món bún","Bóng bì lợn","739","0","Không phải món bún, là món nướng ăn vặt.","pinecone"
"Gợi ý cho tôi một món bún","Yến chưng đường phèn","5065","0","Không phải món bún, là món hấp thức uống.","pinecone"
"Gợi ý cho tôi một món bún","Mì trộn tương đen dầu truffle - Hwasa MAMAMO","6296","1","Có mì trộn nhưng không phải món bún, chỉ liên quan yếu.","pinecone"
"Gợi ý cho tôi một món bún","Mơ ngâm đường","8055","0","Không phải món bún, là món ăn vặt ngâm đường.","pinecone"
"Gợi ý cho tôi một món bún","Mứt mít dẻo (công thức được chia sẻ từ người dùng)","7458","0","Không phải món bún, là món ăn vặt mứt mít.","pinecone"
"Gợi ý cho tôi một món bún","Mận Hà Nội (mận bắc) ngâm đường","8420","0","Không phải món bún, là thức uống ngâm đường.","pinecone"
"Gợi ý cho tôi một món bún","Cốm từ cơm nguội","3739","0","Không phải món bún, là món chiên ăn vặt.","pinecone"
"Gợi ý cho tôi một món bún","Khoai deo Quảng Bình","7267","0","Không phải món bún, là ăn vặt khoai deo.","pinecone"
"Gợi ý cho tôi một món bún","Bí đao khô","8726","0","Không phải món bún, là thức uống bí đao.","pinecone"
"Gợi ý cho tôi một món bún","Nui ngào đường","7690","0","Không phải món bún, là món ăn vặt nui.","pinecone"
"Gợi ý cho tôi một món bún","Thạch rau câu dưa hấu (công thức được chia sẻ từ người dùng)","9679","0","Không phải món bún, là món tráng miệng thạch rau câu.","pinecone"
"Gợi ý cho tôi một món bún","Rau câu phô mai","7348","0","Không phải món bún, là món tráng miệng rau câu phô mai.","pinecone"
"Gợi ý cho tôi một món bún","Trái nhàu ngâm đường phèn","8570","0","Không phải món bún, là thức uống trái nhàu.","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Chả giò chiên bằng nồi chiên không dầu","4412","4","Nấu bằng nồi chiên không dầu, prep 5p, cook 20p đều nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Xúc xích chiên bằng nồi chiên không dầu","3514","4","Nấu bằng nồi chiên không dầu, prep 15p, cook 7p nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Hành phi bằng nồi chiên không dầu","4061","4","Nồi chiên không dầu; prep 10p, cook 25p nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Cá trứng chiên bằng nồi chiên không dầu","4294","4","Nồi chiên không dầu; prep 5p, cook 25p thời gian nấu đều nhanh","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Khoai tây chiên bằng nồi chiên không dầu","4218","3","Nồi chiên không dầu; prep 20p chuẩn bị nhanh, cook 30p hơi sát giới hạn","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Đậu hũ chiên bằng nồi chiên không dầu","3835","4","Nồi chiên không dầu; prep 10p, cook 15p đều nhanh","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Cách làm tóp mỡ bằng nồi chiên không dầu","10054","1","Nồi chiên không dầu nhưng prep và cook đều 30p, không nhanh","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Sầu riêng nướng bằng nồi chiên không dầu","108","1","Nồi chiên không dầu nhưng prep 30p vượt giới hạn dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Cách nướng mực khô bằng nồi chiên không dầu","117","4","Nồi chiên không dầu dễ, prep 10p, cook 5p rất nhanh","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Khoai tây chiên bằng nồi chiên không dầu","4249","4","Nồi chiên không dầu, prep 15p, cook 17p nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Snack da heo chiên giòn bằng nồi chiên không dầu","3820","2","Nồi chiên không dầu nhưng cook 45p vượt giới hạn thời gian","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Ốc hương nướng bằng nồi chiên không","33","4","Nồi chiên không dầu, prep 5p, cook 20p nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Khoai lang chiên bằng nồi chiên không dầu","4293","4","Nồi chiên không dầu thời gian rất nhanh prep 5p, cook 10p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Bánh bao chiên bằng nồi chiên không dầu","3539","4","Nồi chiên không dầu, prep 10p, cook 8p nhanh dưới 30p","pinecone"
"Có món nào nấu bằng nồi chiên không dầu mà thời gian chuẩn bị và thời gian nấu đều nhanh không, dưới 30 phút","Nui chiên giòn bằng nồi chiên không dầu","3730","4","Nồi chiên không dầu, prep 5p, cook 20p nhanh dưới 30p","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","cá hấp chiên","3398","1","Món chiên không phải món hấp.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Cá thu muối dùi","10009","0","Không phải món hấp và có nhiều nguyên liệu.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Khô cá nục","10114","0","Không phải món hấp.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Cá hấp bằng nồi cơm điện","5551","4","Món hấp, có cá, nguyên liệu ít hơn 10.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Cá chỉ vàng nướng","111","0","Món nướng không phải món hấp.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Khô cá hồi làm bằng lò nướng","360","0","Không phải món hấp.","pinecone"
"Cho tôi 1 món cá hấp mà có ít hơn 10 nguyên liệu","Cá trích phile","5855","0","Món gỏi-salad không phải món hấp.","pinecone"
